id,state,regional_unemployment_rate,regional_median_income,regional_median_rent,housing_price_index,cost_of_living_index,previous_zip_code
12759,Tx,3.9,61000,1400.0,107.0,85.0,660
12760,Fl,4.9,55000,1430.0,112.0,84.0,393
12761,Fl,4.8,55000,1290.0,121.0,98.0,734
12762,Tx,4.7,61000,1310.0,105.0,94.0,917
12763,Tx,3.9,61000,1290.0,105.0,86.0,187
12764,Nj,5.2,82000,2350.0,138.0,114.0,194
12765,Il,5.8,65000,1670.0,108.0,90.0,359
12766,In,4.4,55000,1270.0,91.0,83.0,642
12767,Il,5.1,65000,1420.0,96.0,83.0,121
12768,In,4.0,55000,1420.0,97.0,89.0,960
12769,Az,4.6,58000,1430.0,113.0,84.0,311
12770,Mo,4.3,55000,1390.0,92.0,68.0,945
12771,Ca,5.3,75000,2080.0,169.0,123.0,958
12772,Ny,4.6,72000,1700.0,140.0,116.0,346
12773,Tx,4.4,61000,1520.0,101.0,86.0,165
12774,Wa,5.1,78000,1710.0,148.0,118.0,711
12775,Ca,5.5,75000,1670.0,171.0,129.0,632
12776,Nj,4.8,82000,2450.0,138.0,109.0,732
12777,Oh,4.9,56000,1230.0,88.0,74.0,754
12778,Md,4.4,84000,2090.0,129.0,105.0,415
12779,Md,4.8,84000,1940.0,125.0,104.0,161
12780,Az,5.1,58000,1480.0,118.0,89.0,594
12781,Tx,4.6,61000,1390.0,103.0,88.0,586
12782,In,4.5,55000,1410.0,93.0,76.0,612
12783,Wa,4.8,78000,2070.0,160.0,130.0,790
12784,Ca,5.9,75000,1880.0,164.0,132.0,770
12785,Nc,5.3,54000,1240.0,106.0,81.0,420
12786,Mo,3.8,55000,1200.0,93.0,77.0,626
12787,Tx,3.6,61000,1410.0,103.0,79.0,609
12788,In,4.1,55000,1300.0,95.0,77.0,393
12789,Tx,4.8,61000,1440.0,109.0,80.0,475
12790,Wi,4.0,60000,1420.0,104.0,90.0,907
12791,Pa,4.6,61000,1290.0,93.0,70.0,857
12792,Pa,4.4,61000,1560.0,93.0,81.0,960
12793,Wi,4.5,60000,1630.0,105.0,86.0,590
12794,Fl,4.8,55000,1270.0,109.0,90.0,868
12795,Mi,5.4,57000,1480.0,95.0,77.0,820
12796,Ca,5.4,75000,1980.0,151.0,126.0,159
12797,Il,5.5,65000,1640.0,86.0,67.0,982
12798,Ca,6.0,75000,1610.0,166.0,129.0,157
12799,Ma,3.9,81000,2210.0,154.0,129.0,598
12800,Oh,5.2,56000,1320.0,72.0,62.0,933
12801,Pa,4.6,61000,1460.0,101.0,86.0,491
12802,Ny,4.8,72000,1400.0,142.0,113.0,543
12803,Ny,4.5,72000,1690.0,142.0,116.0,149
12804,Va,4.1,74000,1950.0,125.0,99.0,152
12805,Oh,4.7,56000,1430.0,88.0,70.0,871
12806,Il,5.4,65000,1440.0,103.0,84.0,921
12807,Ga,4.0,58000,1660.0,99.0,75.0,255
12808,Fl,4.8,55000,1290.0,106.0,77.0,400
12809,Ca,5.7,75000,1760.0,161.0,130.0,118
12810,Tx,4.1,61000,1380.0,107.0,91.0,269
12811,Ny,4.8,72000,1650.0,133.0,108.0,285
12812,Oh,5.0,56000,1390.0,88.0,75.0,918
12813,Az,4.4,58000,1350.0,108.0,93.0,572
12814,Wa,4.7,78000,1750.0,163.0,127.0,611
12815,Tx,4.2,61000,1640.0,106.0,90.0,154
12816,Ca,5.8,75000,1550.0,160.0,123.0,487
12817,Az,4.9,58000,1490.0,111.0,90.0,273
12818,Mi,5.9,57000,1430.0,99.0,73.0,605
12819,Tn,3.7,53000,1270.0,104.0,83.0,629
12820,In,4.1,55000,1280.0,102.0,69.0,808
12821,Ga,4.0,58000,1360.0,103.0,72.0,658
12822,Ca,5.3,75000,1690.0,158.0,120.0,723
12823,Mi,5.7,57000,1810.0,90.0,76.0,936
12824,Fl,5.1,55000,1210.0,105.0,87.0,662
12825,Ca,5.2,75000,1670.0,160.0,127.0,885
12826,Va,3.6,74000,1770.0,120.0,104.0,755
12827,Fl,5.1,55000,1370.0,115.0,87.0,524
12828,Ca,5.6,75000,1840.0,159.0,125.0,738
12829,Fl,4.8,55000,1390.0,116.0,92.0,522
12830,Ca,5.2,75000,1850.0,161.0,131.0,107
12831,Fl,5.2,55000,1290.0,110.0,79.0,586
12832,Ga,3.6,58000,1220.0,109.0,90.0,919
12833,Md,4.7,84000,1700.0,135.0,110.0,727
12834,In,3.9,55000,1270.0,100.0,80.0,438
12835,Ma,3.9,81000,1830.0,147.0,110.0,464
12836,Tx,4.5,61000,1480.0,99.0,87.0,449
12837,Oh,4.8,56000,1400.0,92.0,82.0,849
12838,In,4.1,55000,1310.0,86.0,77.0,143
12839,Wi,4.3,60000,1240.0,91.0,86.0,834
12840,Oh,4.7,56000,1240.0,91.0,87.0,941
12841,Wi,4.0,60000,1520.0,98.0,76.0,178
12842,Ny,4.9,72000,1710.0,146.0,120.0,902
12843,Ga,4.3,58000,1580.0,104.0,83.0,131
12844,Ny,5.2,72000,1770.0,131.0,112.0,900
12845,Wi,4.5,60000,1320.0,106.0,93.0,555
12846,Wa,5.0,78000,1870.0,150.0,118.0,854
12847,Ga,4.2,58000,1340.0,109.0,86.0,127
12848,Tx,4.5,61000,1490.0,108.0,86.0,271
12849,Pa,4.3,61000,1620.0,86.0,74.0,437
12850,Fl,4.4,55000,1360.0,115.0,98.0,137
12851,Fl,4.7,55000,1080.0,113.0,93.0,460
12852,Ca,5.5,75000,1470.0,157.0,126.0,755
12853,Il,5.7,65000,1690.0,106.0,85.0,437
12854,Va,3.7,74000,1930.0,132.0,105.0,730
12855,Az,4.5,58000,1560.0,126.0,100.0,486
12856,Tx,3.7,61000,1560.0,99.0,82.0,154
12857,Oh,4.8,56000,1270.0,90.0,74.0,985
12858,Ga,3.6,58000,1460.0,105.0,84.0,103
12859,Ny,4.6,72000,1550.0,144.0,114.0,944
12860,Ny,5.2,72000,1920.0,141.0,121.0,579
12861,Ga,3.8,58000,1380.0,108.0,93.0,605
12862,Fl,4.6,55000,1300.0,122.0,101.0,899
12863,Nc,4.6,54000,1400.0,108.0,84.0,438
12864,Tx,4.0,61000,1410.0,109.0,87.0,773
12865,Nc,4.0,54000,1260.0,112.0,92.0,925
12866,Ma,4.3,81000,1860.0,146.0,112.0,730
12867,Ca,5.2,75000,1580.0,155.0,129.0,408
12868,Mo,4.2,55000,1050.0,96.0,85.0,485
12869,Nj,4.9,82000,1940.0,132.0,109.0,893
12870,Mo,4.1,55000,1340.0,96.0,82.0,193
12871,Ga,4.0,58000,1430.0,116.0,92.0,465
12872,Tx,4.6,61000,1460.0,102.0,80.0,378
12873,Oh,5.0,56000,1490.0,88.0,75.0,688
12874,Ca,4.9,75000,1750.0,160.0,128.0,241
12875,Ma,4.5,81000,1820.0,153.0,127.0,435
12876,Ca,6.0,75000,1800.0,164.0,122.0,703
12877,Ny,5.1,72000,1810.0,143.0,116.0,648
12878,Mi,5.3,57000,1320.0,115.0,97.0,123
12879,Ma,4.0,81000,1790.0,146.0,119.0,567
12880,Mi,5.4,57000,1350.0,98.0,84.0,898
12881,Il,6.0,65000,1440.0,104.0,97.0,879
12882,Mo,4.1,55000,1490.0,97.0,82.0,456
12883,Ma,3.8,81000,1950.0,149.0,113.0,635
12884,Ca,5.8,75000,1850.0,160.0,122.0,838
12885,Va,3.9,74000,1540.0,121.0,101.0,301
12886,Nc,4.4,54000,1220.0,98.0,83.0,964
12887,Mo,3.6,55000,1420.0,98.0,81.0,265
12888,Ga,4.1,58000,1270.0,107.0,85.0,433
12889,Ga,4.7,58000,1420.0,104.0,92.0,856
12890,Fl,4.9,55000,1280.0,120.0,87.0,320
12891,Mo,3.9,55000,1210.0,97.0,78.0,933
12892,Ca,5.9,75000,1800.0,155.0,122.0,541
12893,Ga,3.9,58000,1250.0,98.0,77.0,766
12894,Tx,4.1,61000,1780.0,112.0,85.0,899
12895,Ca,5.5,75000,1610.0,170.0,138.0,667
12896,Ny,4.9,72000,1790.0,143.0,113.0,280
12897,Mi,5.2,57000,1220.0,100.0,87.0,532
12898,Fl,4.8,55000,1310.0,114.0,86.0,489
12899,In,4.3,55000,1420.0,88.0,73.0,330
12900,Ca,5.5,75000,1620.0,168.0,130.0,332
12901,Pa,4.7,61000,1620.0,90.0,78.0,129
12902,Pa,4.8,61000,1590.0,94.0,78.0,657
12903,Ga,4.3,58000,1330.0,104.0,92.0,124
12904,Fl,5.1,55000,1220.0,110.0,90.0,505
12905,Fl,4.7,55000,1440.0,115.0,94.0,634
12906,Ca,5.8,75000,1780.0,158.0,127.0,241
12907,Ca,5.5,75000,1990.0,156.0,118.0,229
12908,Fl,4.4,55000,1350.0,119.0,99.0,717
12909,In,4.3,55000,1310.0,94.0,84.0,482
12910,Ny,5.0,72000,1670.0,144.0,111.0,427
12911,Tx,4.0,61000,1350.0,99.0,82.0,178
12912,Nj,5.6,82000,1800.0,130.0,105.0,815
12913,Va,3.8,74000,1710.0,121.0,108.0,575
12914,Pa,4.4,61000,1280.0,99.0,89.0,306
12915,Az,4.6,58000,1540.0,117.0,98.0,854
12916,Ga,4.3,58000,1460.0,111.0,93.0,921
12917,Fl,4.9,55000,1340.0,107.0,88.0,499
12918,Il,5.3,65000,1570.0,94.0,92.0,685
12919,Il,5.3,65000,1450.0,107.0,99.0,971
12920,Wi,4.2,60000,1370.0,95.0,80.0,330
12921,Ca,5.2,75000,1660.0,156.0,128.0,874
12922,Ny,5.2,72000,1610.0,138.0,106.0,835
12923,In,4.6,55000,1520.0,89.0,77.0,169
12924,Pa,4.6,61000,1480.0,94.0,88.0,812
12925,Az,4.5,58000,1280.0,114.0,92.0,812
12926,Nc,4.0,54000,1460.0,117.0,100.0,665
12927,Ca,5.7,75000,1760.0,162.0,127.0,923
12928,Pa,4.7,61000,1400.0,101.0,85.0,429
12929,Il,5.2,65000,1360.0,104.0,91.0,331
12930,In,4.2,55000,1520.0,87.0,69.0,748
12931,Ca,5.4,75000,1660.0,157.0,126.0,315
12932,Nj,5.6,82000,1870.0,129.0,112.0,921
12933,Wi,4.5,60000,1270.0,103.0,85.0,306
12934,Va,3.8,74000,2120.0,125.0,105.0,434
12935,Wi,4.1,60000,1430.0,90.0,77.0,440
12936,In,4.7,55000,1260.0,93.0,86.0,685
12937,Tx,4.6,61000,1600.0,102.0,77.0,544
12938,Az,4.7,58000,1400.0,107.0,90.0,487
12939,Tx,4.5,61000,1410.0,105.0,93.0,300
12940,Wi,4.6,60000,1530.0,99.0,84.0,899
12941,Tn,3.7,53000,1490.0,101.0,81.0,496
12942,In,3.6,55000,1390.0,91.0,80.0,530
12943,Ny,4.5,72000,1640.0,140.0,118.0,408
12944,Tx,4.3,61000,1500.0,104.0,87.0,858
12945,Fl,4.7,55000,1340.0,115.0,93.0,858
12946,Ny,5.1,72000,2090.0,140.0,114.0,534
12947,Ny,5.4,72000,1980.0,138.0,111.0,232
12948,Va,4.0,74000,1640.0,122.0,97.0,384
12949,In,4.6,55000,1370.0,99.0,91.0,572
12950,Ny,5.0,72000,1750.0,143.0,120.0,492
12951,Tx,4.5,61000,1590.0,98.0,84.0,356
12952,Il,5.1,65000,1560.0,96.0,81.0,627
12953,Nc,4.2,54000,1150.0,107.0,89.0,409
12954,Oh,4.7,56000,1270.0,89.0,76.0,275
12955,Ca,5.6,75000,1820.0,171.0,139.0,438
12956,Va,3.5,74000,1790.0,121.0,108.0,100
12957,Ca,6.0,75000,1510.0,162.0,123.0,510
12958,Il,5.0,65000,1560.0,100.0,90.0,364
12959,Oh,5.1,56000,1230.0,90.0,82.0,449
12960,Ca,5.4,75000,1590.0,153.0,116.0,361
12961,Ca,5.9,75000,2050.0,165.0,122.0,755
12962,Ny,4.8,72000,1650.0,145.0,114.0,726
12963,In,4.7,55000,1350.0,89.0,72.0,502
12964,Fl,4.7,55000,1560.0,111.0,90.0,388
12965,Ca,6.0,75000,1620.0,161.0,128.0,733
12966,Tx,4.6,61000,1570.0,103.0,85.0,749
12967,Ny,4.8,72000,1900.0,131.0,111.0,747
12968,Ca,5.7,75000,1760.0,163.0,129.0,148
12969,Fl,4.1,55000,1220.0,113.0,85.0,639
12970,Mi,5.2,57000,1510.0,95.0,75.0,667
12971,Ny,5.0,72000,1690.0,139.0,107.0,134
12972,Ga,4.0,58000,1240.0,106.0,89.0,811
12973,Ny,5.1,72000,1840.0,137.0,114.0,660
12974,Tx,4.1,61000,1350.0,100.0,91.0,377
12975,Va,3.5,74000,1740.0,127.0,107.0,818
12976,Nc,4.1,54000,1350.0,111.0,92.0,295
12977,Mo,4.3,55000,1590.0,103.0,82.0,395
12978,Ma,4.5,81000,1820.0,148.0,124.0,598
12979,Ga,4.6,58000,1550.0,104.0,86.0,215
12980,Il,5.2,65000,1370.0,95.0,82.0,693
12981,Ca,5.4,75000,1630.0,170.0,130.0,894
12982,Oh,4.6,56000,1390.0,82.0,69.0,776
12983,Ga,4.2,58000,1410.0,105.0,80.0,894
12984,Ga,4.3,58000,1440.0,114.0,103.0,603
12985,Ny,4.8,72000,1900.0,135.0,115.0,421
12986,Ny,5.5,72000,1710.0,132.0,100.0,951
12987,Md,4.3,84000,1760.0,126.0,102.0,972
12988,Fl,4.8,55000,1280.0,108.0,96.0,934
12989,Nc,4.7,54000,1240.0,113.0,94.0,255
12990,Nc,4.1,54000,1310.0,105.0,93.0,705
12991,Oh,4.6,56000,1440.0,85.0,76.0,207
12992,Va,4.3,74000,1860.0,122.0,98.0,631
12993,Ca,5.3,75000,1560.0,160.0,122.0,763
12994,Mi,5.5,57000,1600.0,93.0,76.0,391
12995,Mi,5.2,57000,1380.0,95.0,79.0,723
12996,Tx,3.7,61000,1480.0,103.0,86.0,949
12997,Ca,5.4,75000,1740.0,161.0,132.0,994
12998,Ma,4.2,81000,1850.0,143.0,114.0,171
12999,Ma,3.8,81000,1820.0,146.0,120.0,667
13000,Ca,4.9,75000,1740.0,173.0,140.0,823
13001,Md,4.4,84000,2280.0,129.0,115.0,722
13002,Az,4.5,58000,1280.0,112.0,89.0,840
13003,Az,4.6,58000,1260.0,110.0,86.0,172
13004,In,4.5,55000,1380.0,94.0,81.0,723
13005,Ny,5.3,72000,2080.0,139.0,114.0,184
13006,Fl,4.7,55000,1480.0,116.0,88.0,955
13007,Pa,4.5,61000,1480.0,94.0,78.0,409
13008,Ga,4.4,58000,1340.0,100.0,85.0,731
13009,Fl,5.0,55000,1150.0,120.0,87.0,293
13010,Il,4.9,65000,1450.0,100.0,89.0,147
13011,Ca,5.8,75000,1570.0,161.0,130.0,992
13012,Oh,5.0,56000,1210.0,87.0,77.0,280
13013,Tx,4.0,61000,1660.0,104.0,77.0,953
13014,Az,4.4,58000,1470.0,116.0,87.0,356
13015,Ca,5.0,75000,1600.0,152.0,117.0,592
13016,Ny,4.4,72000,1680.0,125.0,108.0,646
13017,Oh,4.3,56000,1090.0,94.0,74.0,956
13018,Ca,5.8,75000,1600.0,154.0,130.0,478
13019,Fl,4.3,55000,1400.0,105.0,81.0,905
13020,Fl,4.8,55000,1440.0,127.0,97.0,807
13021,Md,4.6,84000,1890.0,135.0,110.0,516
13022,Nc,4.2,54000,1490.0,113.0,93.0,166
13023,Ca,5.7,75000,2120.0,162.0,124.0,707
13024,Tx,4.5,61000,1430.0,113.0,87.0,581
13025,Ca,5.6,75000,1600.0,164.0,130.0,485
13026,Nc,4.3,54000,1230.0,110.0,82.0,953
13027,Il,5.0,65000,1580.0,100.0,87.0,511
13028,In,4.4,55000,1190.0,86.0,74.0,762
13029,Tn,3.9,53000,1270.0,107.0,86.0,387
13030,Nj,5.5,82000,1880.0,126.0,112.0,303
13031,Fl,5.0,55000,1330.0,123.0,100.0,699
13032,Ny,5.3,72000,1600.0,140.0,106.0,819
13033,Wi,3.8,60000,1440.0,93.0,74.0,441
13034,Tx,4.5,61000,1310.0,104.0,90.0,112
13035,Wa,4.7,78000,2010.0,148.0,128.0,121
13036,Fl,4.6,55000,1200.0,112.0,94.0,613
13037,Pa,4.7,61000,1340.0,96.0,76.0,365
13038,Ma,4.1,81000,1980.0,148.0,117.0,604
13039,Pa,4.7,61000,1270.0,87.0,84.0,198
13040,Tx,4.2,61000,1260.0,108.0,86.0,782
13041,Tx,4.0,61000,1450.0,105.0,79.0,816
13042,Va,4.1,74000,1490.0,125.0,104.0,547
13043,Oh,5.0,56000,1160.0,96.0,71.0,437
13044,Ca,5.1,75000,1730.0,159.0,128.0,492
13045,Tn,3.8,53000,1200.0,110.0,86.0,137
13046,Il,5.5,65000,1620.0,106.0,95.0,640
13047,Wi,4.0,60000,1310.0,102.0,84.0,602
13048,Ca,5.5,75000,1830.0,154.0,123.0,343
13049,Az,4.9,58000,1430.0,122.0,93.0,804
13050,Wa,4.7,78000,1820.0,154.0,122.0,363
13051,Tx,4.5,61000,1430.0,109.0,78.0,255
13052,Ma,4.0,81000,1780.0,146.0,123.0,493
13053,Tx,4.1,61000,1310.0,99.0,87.0,354
13054,Wi,4.0,60000,1430.0,103.0,83.0,164
13055,Pa,4.4,61000,1410.0,93.0,80.0,127
13056,Ma,4.0,81000,1860.0,151.0,126.0,241
13057,Ca,5.3,75000,1730.0,159.0,123.0,140
13058,Tx,4.3,61000,1750.0,103.0,94.0,521
13059,Nc,4.2,54000,1380.0,104.0,88.0,972
13060,Ca,5.9,75000,1760.0,171.0,133.0,164
13061,Nc,4.2,54000,1390.0,105.0,84.0,508
13062,Pa,4.6,61000,1450.0,98.0,82.0,839
13063,Nc,4.2,54000,1470.0,115.0,87.0,769
13064,Fl,4.9,55000,1210.0,111.0,89.0,810
13065,Il,5.1,65000,1760.0,104.0,81.0,765
13066,Ga,4.9,58000,1180.0,101.0,81.0,485
13067,Fl,4.7,55000,1200.0,114.0,87.0,862
13068,Wa,4.6,78000,2070.0,158.0,131.0,279
13069,Wa,4.3,78000,1760.0,155.0,120.0,100
13070,Il,4.6,65000,1510.0,106.0,90.0,945
13071,Fl,4.7,55000,1380.0,111.0,93.0,776
13072,Tx,3.8,61000,1460.0,104.0,88.0,720
13073,Oh,4.4,56000,1260.0,88.0,74.0,100
13074,Fl,5.4,55000,1340.0,120.0,94.0,686
13075,Mo,4.1,55000,1270.0,97.0,83.0,112
13076,Oh,4.9,56000,1250.0,87.0,79.0,409
13077,Il,5.1,65000,1380.0,99.0,82.0,202
13078,Ca,5.7,75000,1770.0,163.0,127.0,432
13079,Md,4.0,84000,1940.0,128.0,109.0,758
13080,Fl,5.0,55000,1300.0,108.0,100.0,340
13081,Md,4.3,84000,2130.0,124.0,114.0,125
13082,Mo,4.2,55000,1700.0,96.0,82.0,554
13083,Tx,4.3,61000,1560.0,98.0,86.0,732
13084,Tx,3.8,61000,1350.0,102.0,88.0,471
13085,Ny,5.2,72000,1790.0,137.0,105.0,709
13086,Az,4.9,58000,1550.0,122.0,94.0,472
13087,Md,4.8,84000,2030.0,130.0,113.0,974
13088,Ga,4.8,58000,1360.0,95.0,85.0,881
13089,Ga,4.2,58000,1400.0,105.0,90.0,501
13090,Ca,6.1,75000,1770.0,160.0,132.0,141
13091,Mi,5.3,57000,1500.0,96.0,81.0,444
13092,Mi,5.7,57000,1280.0,91.0,72.0,208
13093,Wi,4.1,60000,1330.0,101.0,90.0,648
13094,Pa,4.1,61000,1370.0,101.0,79.0,566
13095,Fl,4.7,55000,1420.0,120.0,91.0,681
13096,Fl,5.0,55000,1310.0,121.0,90.0,361
13097,Ny,4.8,72000,1630.0,129.0,113.0,828
13098,Ca,5.1,75000,1580.0,167.0,129.0,156
13099,Ny,5.2,72000,1880.0,141.0,111.0,327
13100,Wi,4.1,60000,1300.0,101.0,89.0,857
13101,Ca,6.1,75000,1750.0,160.0,128.0,994
13102,Ga,4.0,58000,1320.0,110.0,87.0,421
13103,Wi,4.1,60000,1300.0,97.0,76.0,705
13104,Tx,4.2,61000,1410.0,108.0,89.0,535
13105,Oh,5.3,56000,1340.0,85.0,78.0,983
13106,Pa,4.4,61000,1580.0,101.0,92.0,770
13107,Tx,4.1,61000,1610.0,102.0,90.0,871
13108,Pa,4.3,61000,1370.0,95.0,85.0,359
13109,Nc,4.6,54000,1180.0,107.0,79.0,833
13110,Ny,5.1,72000,1700.0,136.0,114.0,824
13111,Md,4.4,84000,2020.0,128.0,113.0,400
13112,Pa,4.3,61000,1550.0,103.0,77.0,430
13113,Tx,3.8,61000,1610.0,109.0,86.0,394
13114,Tx,3.7,61000,1400.0,101.0,87.0,676
13115,Ny,4.9,72000,1930.0,130.0,97.0,675
13116,Nj,4.7,82000,2070.0,135.0,113.0,143
13117,Ma,4.4,81000,1980.0,152.0,127.0,904
13118,Nj,5.1,82000,1840.0,137.0,114.0,620
13119,Ca,5.7,75000,1590.0,154.0,126.0,242
13120,Ca,5.1,75000,1690.0,163.0,125.0,554
13121,Oh,5.0,56000,1200.0,97.0,87.0,414
13122,Ma,4.1,81000,1990.0,149.0,125.0,783
13123,Pa,4.0,61000,1470.0,85.0,73.0,375
13124,Ny,5.4,72000,1940.0,147.0,112.0,817
13125,Ca,5.5,75000,1790.0,158.0,121.0,753
13126,Ga,4.5,58000,1310.0,101.0,81.0,307
13127,Az,5.0,58000,1480.0,117.0,104.0,867
13128,Ga,4.6,58000,1420.0,104.0,91.0,356
13129,Ca,5.9,75000,1990.0,162.0,120.0,892
13130,Wa,4.6,78000,1630.0,153.0,127.0,836
13131,Az,4.6,58000,1460.0,114.0,88.0,860
13132,Fl,5.0,55000,1520.0,111.0,89.0,937
13133,Wi,4.5,60000,1470.0,104.0,91.0,875
13134,Nc,4.4,54000,1330.0,107.0,83.0,862
13135,Il,5.4,65000,1710.0,100.0,85.0,789
13136,Ny,4.8,72000,1750.0,138.0,114.0,215
13137,In,4.7,55000,1220.0,110.0,89.0,876
13138,Tx,4.7,61000,1370.0,105.0,79.0,261
13139,Md,4.8,84000,2070.0,138.0,122.0,810
13140,Nc,4.7,54000,1200.0,121.0,85.0,257
13141,Pa,4.4,61000,1420.0,98.0,86.0,743
13142,Ma,4.4,81000,2040.0,146.0,118.0,507
13143,Nc,4.3,54000,1250.0,111.0,83.0,467
13144,Md,4.8,84000,1750.0,130.0,106.0,907
13145,In,3.5,55000,1260.0,94.0,83.0,805
13146,Oh,4.6,56000,1200.0,89.0,76.0,428
13147,Ny,4.8,72000,1640.0,140.0,114.0,298
13148,Ca,5.2,75000,1720.0,158.0,121.0,874
13149,Az,4.2,58000,1310.0,124.0,101.0,155
13150,Wa,4.7,78000,1790.0,154.0,128.0,980
13151,Md,4.5,84000,1820.0,131.0,111.0,406
13152,Md,5.0,84000,2240.0,129.0,110.0,416
13153,Nj,4.9,82000,1930.0,130.0,105.0,862
13154,Mi,4.8,57000,1340.0,92.0,91.0,600
13155,Tn,3.7,53000,1450.0,102.0,86.0,713
13156,Nc,4.1,54000,1320.0,115.0,84.0,671
13157,Oh,4.8,56000,1310.0,85.0,72.0,781
13158,Md,4.1,84000,1860.0,126.0,115.0,556
13159,Tx,3.8,61000,1350.0,112.0,89.0,441
13160,Tx,4.2,61000,1400.0,99.0,91.0,177
13161,Tx,4.5,61000,1240.0,108.0,91.0,690
13162,Oh,4.9,56000,1300.0,87.0,86.0,560
13163,Pa,4.4,61000,1520.0,91.0,73.0,187
13164,Wi,4.8,60000,1510.0,99.0,81.0,143
13165,Ny,5.5,72000,1760.0,137.0,105.0,548
13166,Fl,4.5,55000,1190.0,111.0,89.0,736
13167,Tn,3.9,53000,1330.0,106.0,80.0,618
13168,Ny,5.1,72000,1740.0,140.0,121.0,979
13169,Tx,4.1,61000,1360.0,95.0,87.0,942
13170,Wa,4.5,78000,1920.0,159.0,129.0,590
13171,Az,4.5,58000,1370.0,113.0,90.0,243
13172,Il,5.7,65000,1410.0,99.0,90.0,612
13173,Pa,4.6,61000,1330.0,99.0,81.0,718
13174,Nc,4.3,54000,1300.0,118.0,91.0,672
13175,Wa,4.8,78000,1940.0,162.0,123.0,287
13176,Tx,4.4,61000,1500.0,111.0,90.0,880
13177,Oh,5.0,56000,1340.0,92.0,80.0,936
13178,Ca,5.6,75000,1750.0,159.0,132.0,238
13179,Tx,3.7,61000,1410.0,118.0,93.0,207
13180,Tx,4.5,61000,1570.0,107.0,87.0,538
13181,Ny,4.8,72000,1920.0,133.0,101.0,307
13182,Nj,4.7,82000,1920.0,137.0,114.0,405
13183,Wa,5.3,78000,1810.0,155.0,125.0,344
13184,Nj,4.9,82000,2060.0,132.0,105.0,912
13185,Ny,4.8,72000,1520.0,133.0,120.0,166
13186,Wa,4.6,78000,2060.0,147.0,120.0,702
13187,Ca,5.4,75000,1590.0,158.0,126.0,757
13188,Mi,5.5,57000,1280.0,94.0,80.0,268
13189,Ca,5.6,75000,1710.0,155.0,121.0,926
13190,Wa,4.9,78000,1840.0,157.0,126.0,392
13191,Pa,4.4,61000,1370.0,94.0,83.0,813
13192,Nj,4.6,82000,2160.0,139.0,114.0,876
13193,Ca,5.3,75000,1680.0,157.0,125.0,906
13194,Ga,4.4,58000,1340.0,102.0,81.0,710
13195,Tx,3.8,61000,1450.0,98.0,73.0,989
13196,Ny,5.0,72000,1790.0,144.0,121.0,718
13197,Nc,4.2,54000,1090.0,117.0,90.0,172
13198,Pa,4.7,61000,1680.0,92.0,82.0,903
13199,Tx,4.1,61000,1360.0,96.0,80.0,913
13200,Mo,4.3,55000,1230.0,96.0,87.0,688
13201,Va,3.8,74000,1740.0,124.0,105.0,250
13202,Ca,5.3,75000,1740.0,153.0,120.0,129
13203,Ca,5.2,75000,1980.0,161.0,126.0,147
13204,Tx,4.2,61000,1410.0,103.0,79.0,126
13205,Ny,5.2,72000,1810.0,142.0,110.0,597
13206,Ny,5.0,72000,1800.0,135.0,113.0,918
13207,Fl,4.5,55000,1410.0,107.0,77.0,753
13208,Pa,4.1,61000,1610.0,90.0,79.0,757
13209,Pa,4.9,61000,1510.0,100.0,87.0,423
13210,Mi,6.1,57000,1250.0,98.0,82.0,202
13211,Ca,5.2,75000,1730.0,157.0,131.0,812
13212,Ca,5.6,75000,2230.0,151.0,126.0,372
13213,Ca,5.4,75000,1680.0,163.0,125.0,937
13214,Ca,5.3,75000,1600.0,156.0,121.0,109
13215,Ny,5.1,72000,1710.0,142.0,120.0,291
13216,Mo,3.6,55000,1370.0,94.0,74.0,964
13217,Tx,4.2,61000,1660.0,110.0,94.0,849
13218,Ma,4.4,81000,1850.0,153.0,121.0,454
13219,Nc,4.3,54000,1160.0,113.0,87.0,304
13220,Fl,4.2,55000,1170.0,122.0,93.0,597
13221,Il,4.9,65000,1480.0,105.0,92.0,793
13222,In,4.3,55000,1490.0,88.0,72.0,581
13223,Ca,5.0,75000,1840.0,162.0,128.0,485
13224,Fl,5.0,55000,1680.0,115.0,77.0,807
13225,Il,5.5,65000,1540.0,100.0,96.0,484
13226,Fl,5.2,55000,1580.0,112.0,89.0,216
13227,Ca,5.5,75000,1800.0,155.0,121.0,395
13228,Fl,4.7,55000,1320.0,105.0,90.0,833
13229,Tx,4.1,61000,1820.0,110.0,97.0,234
13230,Nc,4.2,54000,1420.0,115.0,84.0,118
13231,Md,4.4,84000,1830.0,128.0,104.0,868
13232,Ca,5.5,75000,2000.0,165.0,129.0,689
13233,Pa,4.3,61000,1740.0,86.0,74.0,788
13234,Mi,5.9,57000,1160.0,101.0,90.0,395
13235,Nc,4.5,54000,1220.0,113.0,93.0,497
13236,Tx,4.0,61000,1430.0,108.0,93.0,283
13237,Il,4.9,65000,1450.0,113.0,91.0,551
13238,Il,4.9,65000,1720.0,102.0,89.0,544
13239,Fl,5.1,55000,1310.0,109.0,84.0,484
13240,Ca,5.0,75000,1630.0,163.0,131.0,328
13241,Tx,4.0,61000,1340.0,99.0,88.0,547
13242,Ca,5.4,75000,1690.0,167.0,120.0,950
